parent_theme,child_theme,topic,geography_type,geography,metric,stratum,year,epiweek,start_date,metric_value
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,34,22/08/2022,0.080263273
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,35,29/08/2022,0.178050575
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,36,05/09/2022,0.258582645
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,37,12/09/2022,0.197096816
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,38,19/09/2022,0.285656712
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,39,26/09/2022,0.401510525
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,40,03/10/2022,0.623389145
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,41,10/10/2022,0.819847525
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,42,17/10/2022,0.880747482
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,43,24/10/2022,1.065845481
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,44,31/10/2022,1.274269979
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,45,07/11/2022,1.496164912
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,46,14/11/2022,2.38171564
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,47,21/11/2022,2.846317532
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,48,28/11/2022,4.190194708
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,49,05/12/2022,7.632887507
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,50,12/12/2022,11.56381523
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,51,19/12/2022,16.6535066
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2022,52,26/12/2022,12.04760351
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2023,1,02/01/2023,7.51685781
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2023,2,09/01/2023,3.392212008
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2023,3,16/01/2023,1.571949806
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2023,4,23/01/2023,1.48983417
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2023,5,30/01/2023,1.026764285
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2023,6,06/02/2023,0.656481453
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2023,7,13/02/2023,1.491602117
infectious_disease,respiratory,Influenza,Nation,England,weekly_hospital_admission_rate,default,2023,8,20/02/2023,0.665988247
infectious_disease,respiratory,Influenza,UKHSA Region,East Midlands,weekly_hospital_admission_rate_by_geography,default,2022,10,07/03/2022,1.376023889
infectious_disease,respiratory,Influenza,UKHSA Region,East of England,weekly_hospital_admission_rate_by_geography,default,2022,10,07/03/2022,0.045813765
infectious_disease,respiratory,Influenza,UKHSA Region,London,weekly_hospital_admission_rate_by_geography,default,2022,10,07/03/2022,0.562966526
infectious_disease,respiratory,Influenza,UKHSA Region,North East,weekly_hospital_admission_rate_by_geography,default,2022,10,07/03/2022,0.143280432
infectious_disease,respiratory,Influenza,UKHSA Region,North West,weekly_hospital_admission_rate_by_geography,default,2022,10,07/03/2022,1.363618731
infectious_disease,respiratory,Influenza,UKHSA Region,South East,weekly_hospital_admission_rate_by_geography,default,2022,10,07/03/2022,0.490165442
infectious_disease,respiratory,Influenza,UKHSA Region,South West,weekly_hospital_admission_rate_by_geography,default,2022,10,07/03/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,West Midlands,weekly_hospital_admission_rate_by_geography,default,2022,10,07/03/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,Yorkshire and Humber,weekly_hospital_admission_rate_by_geography,default,2022,10,07/03/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,East Midlands,weekly_hospital_admission_rate_by_geography,default,2022,11,14/03/2022,1.799415946
infectious_disease,respiratory,Influenza,UKHSA Region,East of England,weekly_hospital_admission_rate_by_geography,default,2022,11,14/03/2022,0.329487532
infectious_disease,respiratory,Influenza,UKHSA Region,London,weekly_hospital_admission_rate_by_geography,default,2022,11,14/03/2022,0.409430206
infectious_disease,respiratory,Influenza,UKHSA Region,North East,weekly_hospital_admission_rate_by_geography,default,2022,11,14/03/2022,0.42984131
infectious_disease,respiratory,Influenza,UKHSA Region,North West,weekly_hospital_admission_rate_by_geography,default,2022,11,14/03/2022,1.105196118
infectious_disease,respiratory,Influenza,UKHSA Region,South East,weekly_hospital_admission_rate_by_geography,default,2022,11,14/03/2022,0.367624074
infectious_disease,respiratory,Influenza,UKHSA Region,South West,weekly_hospital_admission_rate_by_geography,default,2022,11,14/03/2022,0.250536621
infectious_disease,respiratory,Influenza,UKHSA Region,West Midlands,weekly_hospital_admission_rate_by_geography,default,2022,11,14/03/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,Yorkshire and Humber,weekly_hospital_admission_rate_by_geography,default,2022,11,14/03/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,East Midlands,weekly_hospital_admission_rate_by_geography,default,2022,12,21/03/2022,0.529239953
infectious_disease,respiratory,Influenza,UKHSA Region,East of England,weekly_hospital_admission_rate_by_geography,default,2022,12,21/03/2022,0.576603174
infectious_disease,respiratory,Influenza,UKHSA Region,London,weekly_hospital_admission_rate_by_geography,default,2022,12,21/03/2022,0.921217978
infectious_disease,respiratory,Influenza,UKHSA Region,North East,weekly_hospital_admission_rate_by_geography,default,2022,12,21/03/2022,0.835818172
infectious_disease,respiratory,Influenza,UKHSA Region,North West,weekly_hospital_admission_rate_by_geography,default,2022,12,21/03/2022,2.047863483
infectious_disease,respiratory,Influenza,UKHSA Region,South East,weekly_hospital_admission_rate_by_geography,default,2022,12,21/03/2022,1.470496297
infectious_disease,respiratory,Influenza,UKHSA Region,South West,weekly_hospital_admission_rate_by_geography,default,2022,12,21/03/2022,0.12526831
infectious_disease,respiratory,Influenza,UKHSA Region,West Midlands,weekly_hospital_admission_rate_by_geography,default,2022,12,21/03/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,Yorkshire and Humber,weekly_hospital_admission_rate_by_geography,default,2022,12,21/03/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,East Midlands,weekly_hospital_admission_rate_by_geography,default,2022,13,28/03/2022,0.846783996
infectious_disease,respiratory,Influenza,UKHSA Region,East of England,weekly_hospital_admission_rate_by_geography,default,2022,13,28/03/2022,0.535417259
infectious_disease,respiratory,Influenza,UKHSA Region,London,weekly_hospital_admission_rate_by_geography,default,2022,13,28/03/2022,1.403271437
infectious_disease,respiratory,Influenza,UKHSA Region,North East,weekly_hospital_admission_rate_by_geography,default,2022,13,28/03/2022,0.522386372
infectious_disease,respiratory,Influenza,UKHSA Region,North West,weekly_hospital_admission_rate_by_geography,default,2022,13,28/03/2022,1.689701438
infectious_disease,respiratory,Influenza,UKHSA Region,South East,weekly_hospital_admission_rate_by_geography,default,2022,13,28/03/2022,0.122541361
infectious_disease,respiratory,Influenza,UKHSA Region,South West,weekly_hospital_admission_rate_by_geography,default,2022,13,28/03/2022,0.250536621
infectious_disease,respiratory,Influenza,UKHSA Region,West Midlands,weekly_hospital_admission_rate_by_geography,default,2022,13,28/03/2022,0.469322711
infectious_disease,respiratory,Influenza,UKHSA Region,Yorkshire and Humber,weekly_hospital_admission_rate_by_geography,default,2022,13,28/03/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,East Midlands,weekly_hospital_admission_rate_by_geography,default,2022,14,04/04/2022,1.058479905
infectious_disease,respiratory,Influenza,UKHSA Region,East of England,weekly_hospital_admission_rate_by_geography,default,2022,14,04/04/2022,0.70016098
infectious_disease,respiratory,Influenza,UKHSA Region,London,weekly_hospital_admission_rate_by_geography,default,2022,14,04/04/2022,0.665324092
infectious_disease,respiratory,Influenza,UKHSA Region,North East,weekly_hospital_admission_rate_by_geography,default,2022,14,04/04/2022,0.731340885
infectious_disease,respiratory,Influenza,UKHSA Region,North West,weekly_hospital_admission_rate_by_geography,default,2022,14,04/04/2022,2.193647385
infectious_disease,respiratory,Influenza,UKHSA Region,South East,weekly_hospital_admission_rate_by_geography,default,2022,14,04/04/2022,0.62574923
infectious_disease,respiratory,Influenza,UKHSA Region,South West,weekly_hospital_admission_rate_by_geography,default,2022,14,04/04/2022,1.190048933
infectious_disease,respiratory,Influenza,UKHSA Region,West Midlands,weekly_hospital_admission_rate_by_geography,default,2022,14,04/04/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,Yorkshire and Humber,weekly_hospital_admission_rate_by_geography,default,2022,14,04/04/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,East Midlands,weekly_hospital_admission_rate_by_geography,default,2022,15,11/04/2022,0.740935981
infectious_disease,respiratory,Influenza,UKHSA Region,East of England,weekly_hospital_admission_rate_by_geography,default,2022,15,11/04/2022,0.31294024
infectious_disease,respiratory,Influenza,UKHSA Region,London,weekly_hospital_admission_rate_by_geography,default,2022,15,11/04/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,North East,weekly_hospital_admission_rate_by_geography,default,2022,15,11/04/2022,0.626863599
infectious_disease,respiratory,Influenza,UKHSA Region,North West,weekly_hospital_admission_rate_by_geography,default,2022,15,11/04/2022,1.245043159
infectious_disease,respiratory,Influenza,UKHSA Region,South East,weekly_hospital_admission_rate_by_geography,default,2022,15,11/04/2022,0.178785488
infectious_disease,respiratory,Influenza,UKHSA Region,South West,weekly_hospital_admission_rate_by_geography,default,2022,15,11/04/2022,0.939512312
infectious_disease,respiratory,Influenza,UKHSA Region,West Midlands,weekly_hospital_admission_rate_by_geography,default,2022,15,11/04/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,Yorkshire and Humber,weekly_hospital_admission_rate_by_geography,default,2022,15,11/04/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,East Midlands,weekly_hospital_admission_rate_by_geography,default,2022,16,18/04/2022,1.058479905
infectious_disease,respiratory,Influenza,UKHSA Region,East of England,weekly_hospital_admission_rate_by_geography,default,2022,16,18/04/2022,0.329487532
infectious_disease,respiratory,Influenza,UKHSA Region,London,weekly_hospital_admission_rate_by_geography,default,2022,16,18/04/2022,0.716502845
infectious_disease,respiratory,Influenza,UKHSA Region,North East,weekly_hospital_admission_rate_by_geography,default,2022,16,18/04/2022,0.313431799
infectious_disease,respiratory,Influenza,UKHSA Region,North West,weekly_hospital_admission_rate_by_geography,default,2022,16,18/04/2022,1.067179918
infectious_disease,respiratory,Influenza,UKHSA Region,South East,weekly_hospital_admission_rate_by_geography,default,2022,16,18/04/2022,0.122541361
infectious_disease,respiratory,Influenza,UKHSA Region,South West,weekly_hospital_admission_rate_by_geography,default,2022,16,18/04/2022,0.939512312
infectious_disease,respiratory,Influenza,UKHSA Region,West Midlands,weekly_hospital_admission_rate_by_geography,default,2022,16,18/04/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,Yorkshire and Humber,weekly_hospital_admission_rate_by_geography,default,2022,16,18/04/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,East Midlands,weekly_hospital_admission_rate_by_geography,default,2022,17,25/04/2022,0.317543983
infectious_disease,respiratory,Influenza,UKHSA Region,East of England,weekly_hospital_admission_rate_by_geography,default,2022,17,25/04/2022,0.109229334
infectious_disease,respiratory,Influenza,UKHSA Region,London,weekly_hospital_admission_rate_by_geography,default,2022,17,25/04/2022,0.665324092
infectious_disease,respiratory,Influenza,UKHSA Region,North East,weekly_hospital_admission_rate_by_geography,default,2022,17,25/04/2022,0.143280432
infectious_disease,respiratory,Influenza,UKHSA Region,North West,weekly_hospital_admission_rate_by_geography,default,2022,17,25/04/2022,0.652165473
infectious_disease,respiratory,Influenza,UKHSA Region,South East,weekly_hospital_admission_rate_by_geography,default,2022,17,25/04/2022,0.122541361
infectious_disease,respiratory,Influenza,UKHSA Region,South West,weekly_hospital_admission_rate_by_geography,default,2022,17,25/04/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,West Midlands,weekly_hospital_admission_rate_by_geography,default,2022,17,25/04/2022,0.167639539
infectious_disease,respiratory,Influenza,UKHSA Region,Yorkshire and Humber,weekly_hospital_admission_rate_by_geography,default,2022,17,25/04/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,East Midlands,weekly_hospital_admission_rate_by_geography,default,2022,18,02/05/2022,0.423391998
infectious_disease,respiratory,Influenza,UKHSA Region,East of England,weekly_hospital_admission_rate_by_geography,default,2022,18,02/05/2022,0.167124704
infectious_disease,respiratory,Influenza,UKHSA Region,London,weekly_hospital_admission_rate_by_geography,default,2022,18,02/05/2022,0.972396731
infectious_disease,respiratory,Influenza,UKHSA Region,North East,weekly_hospital_admission_rate_by_geography,default,2022,18,02/05/2022,0.85968262
infectious_disease,respiratory,Influenza,UKHSA Region,North West,weekly_hospital_admission_rate_by_geography,default,2022,18,02/05/2022,0.714763045
infectious_disease,respiratory,Influenza,UKHSA Region,South East,weekly_hospital_admission_rate_by_geography,default,2022,18,02/05/2022,0.367624074
infectious_disease,respiratory,Influenza,UKHSA Region,South West,weekly_hospital_admission_rate_by_geography,default,2022,18,02/05/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,West Midlands,weekly_hospital_admission_rate_by_geography,default,2022,18,02/05/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,Yorkshire and Humber,weekly_hospital_admission_rate_by_geography,default,2022,18,02/05/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,East Midlands,weekly_hospital_admission_rate_by_geography,default,2022,19,09/05/2022,0.95263195
infectious_disease,respiratory,Influenza,UKHSA Region,East of England,weekly_hospital_admission_rate_by_geography,default,2022,19,09/05/2022,0.13369976
infectious_disease,respiratory,Influenza,UKHSA Region,London,weekly_hospital_admission_rate_by_geography,default,2022,19,09/05/2022,0.358251423
infectious_disease,respiratory,Influenza,UKHSA Region,North East,weekly_hospital_admission_rate_by_geography,default,2022,19,09/05/2022,0.85968262
infectious_disease,respiratory,Influenza,UKHSA Region,North West,weekly_hospital_admission_rate_by_geography,default,2022,19,09/05/2022,0.681809366
infectious_disease,respiratory,Influenza,UKHSA Region,South East,weekly_hospital_admission_rate_by_geography,default,2022,19,09/05/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,South West,weekly_hospital_admission_rate_by_geography,default,2022,19,09/05/2022,0.112317778
infectious_disease,respiratory,Influenza,UKHSA Region,West Midlands,weekly_hospital_admission_rate_by_geography,default,2022,19,09/05/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,Yorkshire and Humber,weekly_hospital_admission_rate_by_geography,default,2022,19,09/05/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,East Midlands,weekly_hospital_admission_rate_by_geography,default,2022,20,16/05/2022,0.211695999
infectious_disease,respiratory,Influenza,UKHSA Region,East of England,weekly_hospital_admission_rate_by_geography,default,2022,20,16/05/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,London,weekly_hospital_admission_rate_by_geography,default,2022,20,16/05/2022,0.358251423
infectious_disease,respiratory,Influenza,UKHSA Region,North East,weekly_hospital_admission_rate_by_geography,default,2022,20,16/05/2022,0.417909086
infectious_disease,respiratory,Influenza,UKHSA Region,North West,weekly_hospital_admission_rate_by_geography,default,2022,20,16/05/2022,0.721243978
infectious_disease,respiratory,Influenza,UKHSA Region,South East,weekly_hospital_admission_rate_by_geography,default,2022,20,16/05/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,South West,weekly_hospital_admission_rate_by_geography,default,2022,20,16/05/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,West Midlands,weekly_hospital_admission_rate_by_geography,default,2022,20,16/05/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,Yorkshire and Humber,weekly_hospital_admission_rate_by_geography,default,2022,20,16/05/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,East Midlands,weekly_hospital_admission_rate_by_geography,default,2022,21,23/05/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,East of England,weekly_hospital_admission_rate_by_geography,default,2022,21,23/05/2022,0.119614646
infectious_disease,respiratory,Influenza,UKHSA Region,London,weekly_hospital_admission_rate_by_geography,default,2022,21,23/05/2022,0.051178776
infectious_disease,respiratory,Influenza,UKHSA Region,North East,weekly_hospital_admission_rate_by_geography,default,2022,21,23/05/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,North West,weekly_hospital_admission_rate_by_geography,default,2022,21,23/05/2022,0.641105771
infectious_disease,respiratory,Influenza,UKHSA Region,South East,weekly_hospital_admission_rate_by_geography,default,2022,21,23/05/2022,0.490165442
infectious_disease,respiratory,Influenza,UKHSA Region,South West,weekly_hospital_admission_rate_by_geography,default,2022,21,23/05/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,West Midlands,weekly_hospital_admission_rate_by_geography,default,2022,21,23/05/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,Yorkshire and Humber,weekly_hospital_admission_rate_by_geography,default,2022,21,23/05/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,East Midlands,weekly_hospital_admission_rate_by_geography,default,2022,22,30/05/2022,0.211695999
infectious_disease,respiratory,Influenza,UKHSA Region,East of England,weekly_hospital_admission_rate_by_geography,default,2022,22,30/05/2022,0.100274816
infectious_disease,respiratory,Influenza,UKHSA Region,London,weekly_hospital_admission_rate_by_geography,default,2022,22,30/05/2022,0.358251423
infectious_disease,respiratory,Influenza,UKHSA Region,North East,weekly_hospital_admission_rate_by_geography,default,2022,22,30/05/2022,0.215211436
infectious_disease,respiratory,Influenza,UKHSA Region,North West,weekly_hospital_admission_rate_by_geography,default,2022,22,30/05/2022,0.355726629
infectious_disease,respiratory,Influenza,UKHSA Region,South East,weekly_hospital_admission_rate_by_geography,default,2022,22,30/05/2022,0.245082721
infectious_disease,respiratory,Influenza,UKHSA Region,South West,weekly_hospital_admission_rate_by_geography,default,2022,22,30/05/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,West Midlands,weekly_hospital_admission_rate_by_geography,default,2022,22,30/05/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,Yorkshire and Humber,weekly_hospital_admission_rate_by_geography,default,2022,22,30/05/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,East Midlands,weekly_hospital_admission_rate_by_geography,default,2022,23,06/06/2022,0.105847999
infectious_disease,respiratory,Influenza,UKHSA Region,East of England,weekly_hospital_admission_rate_by_geography,default,2022,23,06/06/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,London,weekly_hospital_admission_rate_by_geography,default,2022,23,06/06/2022,0.307072639
infectious_disease,respiratory,Influenza,UKHSA Region,North East,weekly_hospital_admission_rate_by_geography,default,2022,23,06/06/2022,0.208954543
infectious_disease,respiratory,Influenza,UKHSA Region,North West,weekly_hospital_admission_rate_by_geography,default,2022,23,06/06/2022,0.207507193
infectious_disease,respiratory,Influenza,UKHSA Region,South East,weekly_hospital_admission_rate_by_geography,default,2022,23,06/06/2022,0.122541361
infectious_disease,respiratory,Influenza,UKHSA Region,South West,weekly_hospital_admission_rate_by_geography,default,2022,23,06/06/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,West Midlands,weekly_hospital_admission_rate_by_geography,default,2022,23,06/06/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,Yorkshire and Humber,weekly_hospital_admission_rate_by_geography,default,2022,23,06/06/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,East Midlands,weekly_hospital_admission_rate_by_geography,default,2022,24,13/06/2022,0.105847999
infectious_disease,respiratory,Influenza,UKHSA Region,East of England,weekly_hospital_admission_rate_by_geography,default,2022,24,13/06/2022,0.049734145
infectious_disease,respiratory,Influenza,UKHSA Region,London,weekly_hospital_admission_rate_by_geography,default,2022,24,13/06/2022,0.409430206
infectious_disease,respiratory,Influenza,UKHSA Region,North East,weekly_hospital_admission_rate_by_geography,default,2022,24,13/06/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,North West,weekly_hospital_admission_rate_by_geography,default,2022,24,13/06/2022,0.237151086
infectious_disease,respiratory,Influenza,UKHSA Region,South East,weekly_hospital_admission_rate_by_geography,default,2022,24,13/06/2022,0.245082721
infectious_disease,respiratory,Influenza,UKHSA Region,South West,weekly_hospital_admission_rate_by_geography,default,2022,24,13/06/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,West Midlands,weekly_hospital_admission_rate_by_geography,default,2022,24,13/06/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,Yorkshire and Humber,weekly_hospital_admission_rate_by_geography,default,2022,24,13/06/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,East Midlands,weekly_hospital_admission_rate_by_geography,default,2022,25,20/06/2022,0.105847999
infectious_disease,respiratory,Influenza,UKHSA Region,East of England,weekly_hospital_admission_rate_by_geography,default,2022,25,20/06/2022,0.153476164
infectious_disease,respiratory,Influenza,UKHSA Region,London,weekly_hospital_admission_rate_by_geography,default,2022,25,20/06/2022,0.102357551
infectious_disease,respiratory,Influenza,UKHSA Region,North East,weekly_hospital_admission_rate_by_geography,default,2022,25,20/06/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,North West,weekly_hospital_admission_rate_by_geography,default,2022,25,20/06/2022,0.326082736
infectious_disease,respiratory,Influenza,UKHSA Region,South East,weekly_hospital_admission_rate_by_geography,default,2022,25,20/06/2022,0.245082721
infectious_disease,respiratory,Influenza,UKHSA Region,South West,weekly_hospital_admission_rate_by_geography,default,2022,25,20/06/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,West Midlands,weekly_hospital_admission_rate_by_geography,default,2022,25,20/06/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,Yorkshire and Humber,weekly_hospital_admission_rate_by_geography,default,2022,25,20/06/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,East Midlands,weekly_hospital_admission_rate_by_geography,default,2022,26,27/06/2022,0.105847999
infectious_disease,respiratory,Influenza,UKHSA Region,East of England,weekly_hospital_admission_rate_by_geography,default,2022,26,27/06/2022,0.138488472
infectious_disease,respiratory,Influenza,UKHSA Region,London,weekly_hospital_admission_rate_by_geography,default,2022,26,27/06/2022,0.358251423
infectious_disease,respiratory,Influenza,UKHSA Region,North East,weekly_hospital_admission_rate_by_geography,default,2022,26,27/06/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,North West,weekly_hospital_admission_rate_by_geography,default,2022,26,27/06/2022,0.177863315
infectious_disease,respiratory,Influenza,UKHSA Region,South East,weekly_hospital_admission_rate_by_geography,default,2022,26,27/06/2022,0.245082721
infectious_disease,respiratory,Influenza,UKHSA Region,South West,weekly_hospital_admission_rate_by_geography,default,2022,26,27/06/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,West Midlands,weekly_hospital_admission_rate_by_geography,default,2022,26,27/06/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,Yorkshire and Humber,weekly_hospital_admission_rate_by_geography,default,2022,26,27/06/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,East Midlands,weekly_hospital_admission_rate_by_geography,default,2022,27,04/07/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,East of England,weekly_hospital_admission_rate_by_geography,default,2022,27,04/07/2022,0.042058989
infectious_disease,respiratory,Influenza,UKHSA Region,London,weekly_hospital_admission_rate_by_geography,default,2022,27,04/07/2022,0.15353632
infectious_disease,respiratory,Influenza,UKHSA Region,North East,weekly_hospital_admission_rate_by_geography,default,2022,27,04/07/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,North West,weekly_hospital_admission_rate_by_geography,default,2022,27,04/07/2022,0.088931657
infectious_disease,respiratory,Influenza,UKHSA Region,South East,weekly_hospital_admission_rate_by_geography,default,2022,27,04/07/2022,0.122541361
infectious_disease,respiratory,Influenza,UKHSA Region,South West,weekly_hospital_admission_rate_by_geography,default,2022,27,04/07/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,West Midlands,weekly_hospital_admission_rate_by_geography,default,2022,27,04/07/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,Yorkshire and Humber,weekly_hospital_admission_rate_by_geography,default,2022,27,04/07/2022,0
infectious_disease,respiratory,Influenza,UKHSA Region,East Midlands,weekly_hospital_admission_rate_by_geography,default,2022,28,11/07/2022,0
